4.380518199445635266e-03,1.119526694702825502e-02,1.486438042674502469e-02,6.507335688905893319e-05,2.804348587575308804e-02
7.985386733830496936e-03,1.305730073532221196e-02,1.369824980456295534e-02,5.651419430719313054e-03,2.908002223405799572e-02
4.850167852034591165e-03,1.181216704737673984e-02,1.954737769021053576e-02,9.497658750737566699e-03,2.406889716848720218e-02
2.194217008961954105e-04,1.256423340477381793e-02,1.449731448853749591e-02,2.095106588831645723e-04,1.760950727912279426e-02
7.367150045776973619e-03,1.080172428887226505e-02,1.548864777503590646e-02,7.276932640694215408e-03,1.247342259564604254e-02
5.431512386910925493e-03,1.367141169473020529e-02,1.353496804526064558e-02,9.541392681829826208e-03,9.331001182127514684e-03
5.843237319407132077e-03,1.256892477984331707e-02,2.238881451862081984e-02,9.961006095927541631e-03,1.024943199681091488e-02
1.170655140575875032e-02,1.158109513517329749e-02,2.283112721618251253e-02,7.637763439194852032e-04,1.678044021104082087e-02
1.089303969689084731e-02,1.105272223224954345e-02,2.644603380062430023e-02,6.328491085032046833e-03,2.026149074487684776e-02
6.286007758915338264e-03,1.288870088851755240e-02,1.684840433771874618e-02,8.821473622631265804e-03,2.093579828057736542e-02
1.136041006729398423e-02,1.249474381900768198e-02,1.684460772425184008e-02,1.129961524261088174e-02,2.704184758455481855e-02
4.400585882254566322e-04,1.102522075195963569e-02,2.115409757383938244e-02,7.061082871827085994e-03,1.774799940005249155e-02
1.150319040782567075e-02,9.915917163671151072e-03,2.335898924938874938e-02,9.359022468197803271e-03,1.451081089168589078e-02
9.663643992401610081e-03,1.135646854355988784e-02,1.304694718761161693e-02,6.567651459060667822e-03,8.083941372358459040e-03
6.702438366181145968e-03,1.055872914639513320e-02,1.851386482797343080e-02,9.325845773169057565e-03,7.972910198901150478e-03
6.871949067860265610e-03,1.199212065979430621e-02,1.917004117576690328e-02,6.532674623821749064e-03,7.129852804484829339e-03
6.272297746323251709e-04,1.087676341549379845e-02,1.009912100780398919e-02,6.732185396336578913e-03,6.804062299842048370e-03
1.121226281604816716e-02,1.017782328823043335e-02,2.056036455593746384e-02,6.352548562069315966e-03,6.745802310589706259e-03
6.791473744504514590e-03,8.286717874353002194e-03,1.889547121050703937e-02,1.134083633905233826e-02,5.721082431644314639e-03
6.596118379161595990e-03,1.258280168567199771e-02,9.641539991767533735e-03,7.410278210939732005e-04,6.351568550459985897e-03
